kri_id,kri_category,kri_description,export_name,event_name,field,positive_condition,denominator_field,denominator_positive,date_start_field,date_end_field,lookup_join_field_1,lookup_join_event_1,lookup_join_system_1,lookup_value_field_1,lookup_join_field_2,lookup_join_event_2,lookup_join_system_2,notes
recruitment_vs_expected,timely_recruitment,Number of randomised families at each site as % expected per site,data_capture,randomisation_arm_1,pdallocation,NOT NULL,,,,,dag_id,NA,site_data,recruitment_target,redcap_data_access_group,NA,data_capture,
identified_by_site,timely_recruitment,Number of identified participants at each site,screening_data,NA,pdregisterdat,NOT NULL,,,,,,,,,,,,
screened_by_site,timely_recruitment,Number of participants screened at each site,screening_data,NA,ieeligibleyn,NOT NULL,,,,,,,,,,,,
activation_to_first_recruitment,timely_recruitment,Time from site activation to first participant recruited,data_capture,randomisation_arm_1,pdallocation,NOT NULL,,,activation_date,pdrandomisationdat,dag_id,NA,site_data,activation_date,redcap_data_access_group,NA,data_capture,
screen_failure_rate,timely_recruitment,Screen failure rate by site,screening_data,NA,ieeligibleyn,0,ieeligibleyn,NOT NULL,,,,,,,,,,denominator is all values where ieeligibleyn = NOT NULL
screening_to_randomisation_time,timely_recruitment,Average time from screening to randomisation,data_capture,randomisation_arm_1,pdallocation,NOT NULL,,,ieappointdat,pdrandomisationdat,screening_id,NA,screening_data,ieappointdat,id,enrolment_arm_1,data_capture,
activation_to_first_screen,timely_recruitment,Time from site activation to first participant screened,screening_data,NA,ieappointdat,NOT NULL,,,activation_date,ieappointdat,dag_id,NA,site_data,activation_date,redcap_data_access_group,NA,screening_data,
number_withdrawn,participant_retention,% of participants withdrawn by site,data_capture,withdrawal_arm_1,witype,2,,,,,,,,,,,,
number_dropout,participant_retention,% of participants drop out for any reason by site,data_capture,withdrawal_arm_1,witype,1 OR 2 OR 3,,,,,,,,,,,,
number_lost,participant_retention,% of participants lost to follow-up by site,data_capture,withdrawal_arm_1,witype,3,,,,,,,,,,,,
number_partial,participant_retention,% of participants partially withdrawn by site,data_capture,withdrawal_arm_1,witype,1,,,,,,,,,,,,
number_missed,participant_retention,% of participants with one or more missed visits,data_capture,week_4_arm_1; week_12_arm_1; week_24_arm_1,hooccuryn,0,,,,,,,,,,,,
primary_endpoint_completeness,data_completeness,% completed primary end point data by site,data_capture,week_12_arm_1,holfihandgrip1; holfihandgrip2; holfihandgrip3; holfichairstand; holfibalance1; holfibalance2; holfibalance3,NOT NULL,hooccuryn,1,,,,,,,,,,
number_ae,participant_safety,Number of AEs by site,safety_data,initial_report_arm_1,aeseriousyn,0,,,,,,,,,,,,
number_sae,participant_safety,Number of SAEs by site,safety_data,initial_report_arm_1,aeseriousyn,1,,,,,,,,,,,,
number_susar,participant_safety,Number of SUSARs by site,safety_data,initial_report_arm_1,aeseriousyn; aecitrialyn; aeciexpect,1 AND 1 AND 2,,,,,,,,,,,,
percent_ae,participant_safety,% of participants with one or more AE by site,safety_data,initial_report_arm_1,aeseriousyn,0,,,,,aerecordid,initial_report_arm_1,safety_data,aeseriousyn,record_id,enrolment_arm_1,data_capture,
percent_sae,participant_safety,% of participants with one or more SAE by site,safety_data,initial_report_arm_1,aeseriousyn,1,,,,,aerecordid,initial_report_arm_1,safety_data,aeseriousyn,record_id,enrolment_arm_1,data_capture,
percent_susar,participant_safety,% of participants with one or more SUSAR by site,safety_data,initial_report_arm_1,aeseriousyn; aecitrialyn; aeciexpect,1 AND 1 AND 1,,,,,aerecordid,initial_report_arm_1,safety_data,aeseriousyn; aecitrialyn; aeciexpect,record_id,enrolment_arm_1,data_capture,
late_report_safety,participant_safety,Number of late-reported safety events by site,safety_data,initial_report_arm_1,,aeonsetdat,,,aecomplete1dat,aeonsetdat,,,,,,,,
late_pi,participant_safety,Number of PI opinions reported late by site,safety_data,initial_report_arm_1,,aepicompletedat,,,aecomplete1dat,aepicompletedat,,,,,,,,
imp_compliance,intervention_adherence,% participants complying with IMP dosage by site,data_capture,week_4_arm_1;week_12_arm_1,hoadhsrinstyn,1,hooccuryn,1,,,,,,,,,,each participant counted only once
missed_dose_number,intervention_adherence,Number of missed or delayed doses by site,data_capture,week_4_arm_1;week_12_arm_1,hoadhsrinstyn,0,,,,,,,,,,,,
