kri_id,kri_category,kri_description,export_name,event_name,field,positive_condition,denominator_field,denominator_positive,date_start_field,date_end_field,lookup_join_field_1,lookup_join_event_1,lookup_join_system_1,lookup_value_field_1,lookup_join_field_2,lookup_join_event_2,lookup_join_system_2,notes
recruitment_vs_expected,timely_recruitment,Actual recruitment at each site as % expected per site,,,,,,,,,,,,,,,,
identified_by_site,timely_recruitment,Number of identified participants at each site,,,,,,,,,,,,,,,,
screened_by_site,timely_recruitment,Number of participants screened at each site,,,,,,,,,,,,,,,,
activation_to_first_recruitment,timely_recruitment,Time from site activation to first participant recruited,,,,,,,,,,,,,,,,
screen_failure_rate,timely_recruitment,Screen failure rate by site,,,,,,,,,,,,,,,,
screening_to_randomisation_time,timely_recruitment,Average time from screening to randomisation,,,,,,,,,,,,,,,,
activation_to_first_screen,timely_recruitment,Time from site activation to first participant screened,,,,,,,,,,,,,,,,
number_withdrawn,participant_retention,% of participants withdrawn by site,,,,,,,,,,,,,,,,
number_dropout,participant_retention,% of participants drop out for any reason by site,,,,,,,,,,,,,,,,
number_lost,participant_retention,% of participants lost to follow-up by site,,,,,,,,,,,,,,,,
number_partial,participant_retention,% of participants partially withdrawn by site,,,,,,,,,,,,,,,,
number_missed,participant_retention,% of participants with one or more missed visits,,,,,,,,,,,,,,,,
primary_endpoint_completeness,data_completeness,% completed primary end point data by site,,,,,,,,,,,,,,,,
number_ae,participant_safety,Number of AEs by site,,,,,,,,,,,,,,,,
number_sae,participant_safety,Number of SAEs by site,,,,,,,,,,,,,,,,
number_susar,participant_safety,Number of SUSARs by site,,,,,,,,,,,,,,,,
percent_ae,participant_safety,% of participants with one or more AE by site,,,,,,,,,,,,,,,,
percent_sae,participant_safety,% of participants with one or more SAE by site,,,,,,,,,,,,,,,,
percent_susar,participant_safety,% of participants with one or more SUSAR by site,,,,,,,,,,,,,,,,
late_report_safety,participant_safety,Number of late-reported safety events by site,,,,,,,,,,,,,,,,
late_pi,participant_safety,Number of PI opinions reported late by site,,,,,,,,,,,,,,,,
imp_compliance,intervention_adherence,% participants complying with IMP dosage by site,,,,,,,,,,,,,,,,
missed_dose_number,intervention_adherence,Number of missed or delayed doses by site,,,,,,,,,,,,,,,,
